Parameter	set1	set2	set3	set4	set5	set6	set7	set8
a3	5.314	1.022	6.962	4.835	9.946	9.707	9.971	9.964
a4	7.175	9.866	4.687	9.776	8.412	7.882	7.139	1.155
a5	1.96	5.353	1	5.004	4.883	9.988	2.672	1.112
a6	8.874	2.278	2.459	1.371	2.25	1.821	1.04	1
a7	1.528	5.917	1	9.246	1.73	1.005	9.33	8.058
a8	3.014	4.365	6.927	9.413	7.008	9.914	2.72	9.866
r1	5.673	3.747	11.45	1.182	3.794	3.458	1.028	1.24
r2	1.395	2.384	2.638	5.219	3.087	2.826	4.889	3.528
r3	8.556	4.747	1.171	7.636	9.789	3.979	0.01852	9.399
r4	3.422	16.3	5.842	94.55	0.1007	0.1002	0.1057	0.1001
r5	0.1532	0.1	0.1	0.1183	0.1001	0.1001	0.1002	0.1001
r6	25.77	0.4728	96.91	275.3	41.25	31.46	1.286	176.2
r7	12.27	35.94	23.2	231.6	2.785	0.4538	13.76	12.07
r8	1.753	2.225	1.867	1.574	1.401	1.785	0.3183	1.026
r9	30.75	0.5885	153.7	363.5	47.7	39.29	2.544	396.5
r10	9.981	21.8	11.88	81.95	3.601	0.01082	26.78	11.29
r11	1.941	2.086	1.59	1.066	1.232	2.428	1.6	1.102
r12	4.987	6.033	3.409	3.455	4.937	10.59	15.17	1.303
r13	44.99	1.053	142.6	443.7	58.63	35.93	4.415	326.5
r14	3.904	12.66	8.865	0.1209	1.807	0.3359	94.19	17.22
r15	5.344	6.743	18.56	4.354	5.036	10.07	6.786	11.3
r16	9.74	0.1519	52.48	82.46	13.34	8.783	0.9119	84.15
r17	2.25	5.199	41.75	0.3816	1.775	0.8467	61.33	14.62
r18	41.94	1.205	291.2	493.8	63.51	22.02	3.123	385.8
r19	15.93	16.24	26.48	12.24	12.13	11.21	7.592	29.8
r20	0.109	0.1465	0.1458	0.4281	0.6299	0.01341	0.2518	12.3
r21	3.336	5.127	3.068	2.549	1.704	13.25	2.484	4.045
r22	56.5	1.971	182.5	150.7	33.31	93.73	6.552	725.3
r23	3.28	7.1	4.992	4.912	2.576	4.767	4.378	3.856
r24	4.315	16.33	10.8	54.31	4.513	0.106	18.25	0.101
r25	41.19	1.027	156.9	365.3	43.43	39	2.794	368.7
r26	4.774	5.466	4.54	3.558	4.259	6.963	3.439	4.691
r27	1.34	6.864	4.343	1.108	2.083	0.4267	17.04	7.185
r28	5.91	8.392	8.667	4.178	3.885	11.58	4.722	7.319
r29	0.2745	0.1423	0.1	1.732	0.7494	0.1001	0.1002	0.1
r30	1.411	2.714	6.728	0.5166	0.5525	3.9	0.2139	0.1194
r31	0.03975	0.01041	0.2149	0.1999	1.944	0.3978	2.477	2.029
r32	6.967	4.775	1.069	7.782	10.91	3.516	0.1142	0.04042
r33	0.7146	0.9026	0.03532	0.5893	0.06372	0.1207	0.1105	0.8943
r34	2.874	0.05704	1.302	0.1891	1.021	1.025	9.955	6.847
r35	0.06041	0.02929	0.2607	0.1446	0.03939	0.02616	9.917	0.02871
r36	0.08923	0.49	0.5084	2.492	8.706	1.344	0.02061	0.01041
r37	9.958	0.554	0.01093	0.5246	0.1416	0.04229	0.1703	0.08021
r38	3.887	0.05062	0.3151	0.1267	0.1986	0.6058	0.9035	0.3665
r40	1.422	1.051	0.2785	1.016	2.263	1.208	1.681	5.28
