parameter	genotype-1	genotype-2
Tb	3	3
Tvmin	-3.5	-3.5
Tvmax	6	6
Vsat	960	960
v	-5.17	-5.17
sigma	1	1
m	2.23	2.23
Dld	1	1
CSDL	10	10
CLDL	14	14
Fb	0.4259	0.4743
Dsd	0.6365	0.6015
Threshold	2907	3212
Night	0.2118	0.1782
Phot_a	1	1
Phot_b	-0.3635	-0.3985
Phot_c	5.733241	5.733241
Phot_n	7	7
p19	110	110
p20	1	1
p21	3.07	3.07
p22	5.59	5.59
p23	2.64	2.64
p24	13.03	13.03
p25	9.58	9.58
p26	560	560
p27	300	300
p28	400	400
p29	1.3	1.3
p30	0.3398	0.3398
p31	0.35	0.35
p32	1.60E-05	1.60E-05
p33	1.00E-06	1.00E-06
p34	0.1	0.1
p35	2	2
p36	1	1
p37	19	19
p38	19	19
p39	8.314	8.314
p40	59400	59400
p41	40.4	40.4
p42	36000	36000
p43	24800	24800
p44	64800	64800
p45	20500	20500
p46	3.69	3.69
p47	0.188	0.188
p48	0.0036	0.0036
p49	0.7	0.7
p50	37000	37000
p51	220000	220000
p52	710	710
p53	2.1	2.1
p54	0.15	0.15
p55	0.7	0.7
p56	66400	66400
p57	0.085	0.085
p58	0.016	0.016
p59	86400	86400
p60	0.6	0.6
p61	0.84	0.84
p62	0.05	0.05
p63	0.408	0.408
p64	0.195	0.195
p65	10	10
p66	60	60
p67	355	355
p68	0.033	0.033
p69	0.084	0.084
p70	16.75	16.75
p71	0.144	0.144
p72	0.002	0.002
p81	1	1
p82	30.3	30.3
p83	11.9	11.9
p84	0.88	0.88
p85	0.2	0.2
